outcome_var,outcome_label,ctrl_mean,ctrl_sd,late_low,se_low,p_low,n_low,late_med,se_med,p_med,n_med,late_full,se_full,p_full,n_full
electric_lighting,Electric lighting (%),5.216,22.245,104.519,5.845,0.0,1474,96.76,2.168,0.0,1482,89.298,1.082,0.0,1485
number_appliances,Number of appliances,1.832,1.34,0.412,0.988,0.677,1474,1.52,0.345,0.0,1482,0.221,0.093,0.017,1485
mobilephone,Mobile phone (%),84.263,36.432,-17.457,28.501,0.54,1474,18.488,9.485,0.051,1482,-4.892,2.511,0.051,1485
radio,Radio (%),54.227,49.843,-7.983,38.048,0.834,1474,23.505,13.222,0.075,1482,2.021,3.331,0.544,1485
television,Television (%),17.896,38.349,31.987,28.137,0.256,1474,47.087,10.238,0.0,1482,9.979,2.648,0.0,1485
iron,Electric iron (%),4.137,19.923,13.968,15.074,0.354,1474,6.913,5.507,0.209,1482,1.672,1.385,0.228,1485
solar_shs,Solar / SHS (%),11.781,32.252,4.7,24.683,0.849,1474,-10.426,8.467,0.218,1482,-12.887,1.876,0.0,1485
energy_spending,Energy spending (USD/mo),11.659,28.467,-7.325,22.018,0.739,1474,-16.64,6.931,0.016,1482,-0.681,1.943,0.726,1485
gridelec_spending,Grid electricity spending (USD/mo),0.136,0.915,3.263,0.663,0.0,1474,2.471,0.238,0.0,1482,2.117,0.089,0.0,1485
fraction_employed_all,Employment rate,36.81,38.771,110.576,36.231,0.002,1468,14.547,10.366,0.161,1473,4.477,2.594,0.084,1478
percapcons,Per-capita consumption (USD/mo),132.707,142.224,-21.535,105.807,0.839,1474,-23.248,37.906,0.54,1482,-8.353,9.259,0.367,1485
symptoms_index,Health symptoms index,-0.0,1.0,0.333,0.759,0.661,1474,0.289,0.265,0.276,1482,-0.073,0.066,0.27,1485
life_index,Life satisfaction index,-0.0,1.0,1.632,0.829,0.049,1474,0.227,0.271,0.402,1482,0.145,0.068,0.032,1485
