outcome_label,sample,with_controls,N,flag_exploratory,b1,se_b1,p_b1,q_b1,ci_b1_lo,ci_b1_hi,b13,se_b13,p_b13,q_b13,ci_b13_lo,ci_b13_hi,b3,se_b3,p_b3,q_b3,ci_b3_lo,ci_b3_hi
D2: Life satisfaction,pooled,True,4157,False,0.0937,0.0459,0.0415,0.1492,0.0036,0.1837,0.0757,0.0496,0.1272,0.2544,-0.0216,0.173,-0.0179,0.0663,0.7867,0.9496,-0.1478,0.112
D2: Life satisfaction,pooled,False,4157,False,0.1045,0.0514,0.042,0.1492,0.0038,0.2052,0.0846,0.0531,0.1115,0.2544,-0.0196,0.1888,-0.0199,0.0655,0.761,0.9496,-0.1482,0.1084
D2: Life satisfaction,R1,True,2110,False,0.074,0.0696,0.2877,0.3836,-0.0624,0.2103,0.1061,0.0637,0.0957,0.2544,-0.0187,0.2309,0.0321,0.0908,0.7235,0.9496,-0.1459,0.2102
D2: Life satisfaction,R1,False,2110,False,0.0848,0.0758,0.2632,0.3836,-0.0637,0.2333,0.1177,0.0686,0.0866,0.2544,-0.0169,0.2522,0.0329,0.0898,0.7146,0.9496,-0.1432,0.2089
D2: Life satisfaction,R2,True,2047,False,0.113,0.0633,0.0746,0.1492,-0.0112,0.2371,0.0421,0.0723,0.5605,0.5605,-0.0996,0.1837,-0.0709,0.0875,0.4177,0.9496,-0.2424,0.1006
D2: Life satisfaction,R2,False,2047,False,0.1247,0.0652,0.056,0.1492,-0.0031,0.2525,0.0502,0.0731,0.4921,0.5605,-0.0931,0.1935,-0.0745,0.0856,0.3846,0.9496,-0.2423,0.0934
D6: Security index,R2,True,2047,True,-0.048,0.0592,0.4175,0.4215,-0.164,0.068,-0.06,0.0733,0.4135,0.5605,-0.2036,0.0837,-0.012,0.0885,0.8925,0.9496,-0.1853,0.1614
D6: Security index,R2,False,2047,True,-0.0487,0.0606,0.4215,0.4215,-0.1675,0.0701,-0.0544,0.0737,0.4608,0.5605,-0.1989,0.0901,-0.0057,0.0897,0.9496,0.9496,-0.1815,0.1701
D2: Life satisfaction,pooled_high_wtp_only,True,1863,False,0.0772,0.0489,0.1148,,-0.0187,0.173,,,,,,,,,,,,
D2: Life satisfaction,pooled_low_wtp_only,True,2294,False,0.0963,0.0451,0.0326,,0.008,0.1847,,,,,,,,,,,,
D2: Life satisfaction (continuous WTP),pooled,True,4157,False,0.0758,0.0426,,,,,,,,,,,0.0001,0.0002,0.647,,-0.0003,0.0005
